depth [m];GICC05modelext ice age [yr];GICC05modelext gas age [yr];temperature [°C];temperature error [°C];accumulation, tuned [m ice/yr];NGRIP d18O (permil);Age from d18O [yr];Counting Err Age from d18O [yr];d15N [permil];Err d15N [permil]
1951.363157;32490.10986;31498.51481;-42.39066133;3;0.069663635;-39.57997373;32490.89388;1131.544694;0.403442012;0.02
1951.502443;32494.80985;31508.58099;-42.87402437;3;0.067944217;-39.85191264;32495.31565;1131.765783;0.402094858;0.02
1951.636064;32499.50983;31518.75103;-43.46110241;3;0.066025351;-40.11279247;32499.5576;1131.97788;0.400802489;0.02
1951.769686;32504.72466;31528.06768;-44.17155261;3;0.063837114;-40.71041752;32505.09301;1132;0.39951012;0.02
1951.903307;32509.99944;31537.26484;-44.88200281;3;0.061648876;-41.34725133;32510.77903;1132;0.398217751;0.02
1952.021478;32515.27422;31546.48944;-45.52989427;3;0.059663087;-41.91045034;32515.80759;1132;0.397074814;0.02
1952.149773;32521.80443;31555.72564;-46.34913899;3;0.057208096;-42.50991863;32521.80443;1132.090221;0.395833965;0.02
1952.278068;32529.57986;31564.9349;-47.16838371;3;0.054753105;-43.06974961;32529.57986;1132.478993;0.394593116;0.02
1952.406362;32537.35529;31574.12094;-47.96698469;3;0.052290992;-43.6295806;32537.35529;1132.867764;0.393352267;0.02
1952.528298;32545.49266;31582.63463;-48.67695248;3;0.049933987;-43.74471343;32546.02293;1133.301146;0.392172919;0.02
1952.647448;32555.00573;31589.95303;-49.37069764;3;0.04763084;-43.63014651;32555.18828;1133.759414;0.39102052;0.02
1952.766597;32563.90326;31597.27144;-49.93379916;3;0.045355833;-43.68124283;32563.90326;1134.195163;0.38986812;0.02
1952.900641;32573.14762;31605.27572;-50.47910392;3;0.042815443;-43.94470725;32573.14762;1134.657381;0.38857167;0.02
1953.034684;32582.32743;31613.68774;-50.96087303;3;0.040528156;-44.09247031;32582.56917;1135.128459;0.38727522;0.02
1953.168686;32592.3217;31622.15669;-51.31546167;3;0.038747623;-43.90883787;32592.49525;1135.624763;0.38597917;0.02
1953.300559;32601.97155;31630.79676;-51.61257006;3;0.03715629;-43.76014223;32601.97155;1136.295733;0.384703709;0.02
1953.44562;32611.3303;31639.43684;-51.80631529;3;0.035818839;-43.71334852;32611.3303;1137.699545;0.383300702;0.02
1953.59068;32620.60803;31648.2301;-51.96581893;3;0.034599301;-43.65837752;32620.62824;1139.031412;0.381897695;0.02
1953.73116;32628.86645;31657.03404;-52.08049354;3;0.033555299;-43.50550225;32628.89177;1139.444589;0.380538991;0.02
1953.883968;32637.87564;31666.15955;-52.19105666;3;0.032886856;-43.33921132;32637.88047;1139.894023;0.379061052;0.02
1954.036776;32646.87111;31675.44844;-52.29453235;3;0.032452;-43.81862219;32646.86917;1140.343458;0.377583114;0.02
1954.189549;32655.86235;31684.61232;-52.38670046;3;0.032297509;-44.4971141;32655.85582;1140.792791;0.376105513;0.02
1954.355399;32665.96244;31693.6561;-52.48191393;3;0.032163185;-44.35685489;32665.96244;1141.596244;0.374501432;0.02
1954.508491;32675.53071;31702.37345;-52.56264899;3;0.032088509;-43.62966599;32675.53071;1142.553071;0.373020741;0.02
1954.661584;32686.71623;31710.32382;-52.63006536;3;0.032013406;-44.13303229;32686.79865;1143.679865;0.371540051;0.02
1954.824376;32700.31259;31718.27419;-52.69165353;3;0.031926139;-45.75187003;32700.31259;1145.015629;0.369965544;0.02
1954.986065;32711.8618;31727.05514;-52.72320395;3;0.031799513;-45.08201535;32711.8618;1145.59309;0.368920295;0.02
1955.135317;32722.48222;31736.06637;-52.71439648;3;0.031637351;-44.60621607;32722.52262;1146.378393;0.368828459;0.02
1955.294789;32733.84645;31745.1706;-52.67603699;3;0.03142953;-44.58912977;32733.91349;1148.087023;0.368730334;0.02
1955.452155;32744.97621;31754.34687;-52.58863083;3;0.03113276;-44.20927257;32744.97621;1149.497621;0.368633504;0.02
1955.609521;32755.82905;31763.29154;-52.51949361;3;0.030798468;-43.40073604;32755.82905;1150.582905;0.368536675;0.02
1955.766887;32766.45589;31771.8646;-52.47167015;3;0.030420402;-43.20025111;32766.68189;1152.336377;0.368439845;0.02
1955.916949;32776.94166;31780.44872;-52.543812;3;0.030039016;-43.37101056;32777.03094;1154.406189;0.368347511;0.02
1956.064554;32787.21061;31789.2386;-52.69052312;3;0.029694193;-44.00045381;32787.21061;1155.721061;0.368256688;0.02
1956.212159;32797.39027;31798.02848;-52.94217427;3;0.029400763;-44.81991672;32797.39027;1156.739027;0.368165864;0.02
1956.372134;32808.80911;31806.89861;-53.32374428;3;0.029168049;-45.12596236;32808.72385;1157.872385;0.36806743;0.02
1956.535226;32820.36041;31815.79194;-53.75463255;3;0.029042884;-45.24261161;32820.36041;1159.036041;0.367967077;0.02
1956.686669;32830.80473;31824.65504;-54.18387391;3;0.029047616;-45.02850312;32830.80473;1160.080473;0.367873893;0.02
1956.849761;32842.09895;31833.49099;-54.59622921;3;0.029182163;-44.83692132;32842.05245;1161.205245;0.36777354;0.02
1957.015944;32853.60152;31842.2813;-54.90675012;3;0.029394581;-44.81972994;32853.51337;1162.351337;0.367671285;0.02
